,Model,
 
,Estimate,Std. Err.,z,p,
kindOfChange.pub.(3),1.73,0.12,14.62,.000,

concepts3(1),0.47,0.07,6.85,.000,

impactTargetGroup.pub.(1),-0.42,0.07,-6.12,.000,

impactTargetGroup.pub.(2),-0.23,0.07,-3.41,.001,

impactTargetGroup.pub.(3),0.05,0.07,0.68,.495,

impactTargetGroup.pub.(4),0.28,0.07,4.14,.000,

impactTargetGroup.pub.(5),0.39,0.07,5.71,.000,

impactTargetGroup.pub.(6),0.71,0.07,9.81,.000,

impactTargetGroup.pub.(7),0.92,0.08,11.84,.000,

impactTargetGroup.pub.(8),1.17,0.09,13.65,.000,

impactTargetGroup.pub.(9),1.55,0.10,14.77,.000,

impactTargetGroup.pub.(10),1.67,0.11,14.72,.000,

impactTargetGroup.socgr.(1),0.36,0.07,5.29,.000,

impactTargetGroup.socgr.(2),0.59,0.07,8.39,.000,

impactTargetGroup.socgr.(3),0.80,0.07,10.79,.000,

impactTargetGroup.socgr.(4),0.94,0.08,12.03,.000,

impactTargetGroup.socgr.(5),1.03,0.08,12.75,.000,

impactTargetGroup.socgr.(6),1.19,0.09,13.80,.000,

impactTargetGroup.socgr.(7),1.35,0.09,14.44,.000,

impactTargetGroup.socgr.(8),1.57,0.11,14.78,.000,

impactTargetGroup.socgr.(9),1.87,0.13,14.24,.000,

impactTargetGroup.socgr.(10),2.07,0.15,13.39,.000,

impactTargetGroup.civsoc.(1),0.54,0.07,7.78,.000,

impactTargetGroup.civsoc.(2),0.78,0.07,10.50,.000,

impactTargetGroup.civsoc.(3),1.00,0.08,12.57,.000,

impactTargetGroup.civsoc.(4),1.21,0.09,13.88,.000,

impactTargetGroup.civsoc.(5),1.32,0.09,14.33,.000,

impactTargetGroup.civsoc.(6),1.50,0.10,14.74,.000,

impactTargetGroup.civsoc.(7),1.59,0.11,14.78,.000,

impactTargetGroup.civsoc.(8),1.87,0.13,14.24,.000,

impactTargetGroup.civsoc.(9),2.01,0.15,13.67,.000,

impactTargetGroup.civsoc.(10),2.20,0.17,12.62,.000,

adoptByPolicy.rate.(1),0.26,0.07,3.93,.000,

adoptByPolicy.rate.(2),0.43,0.07,6.23,.000,

adoptByPolicy.rate.(3),0.78,0.07,10.50,.000,

adoptByPolicy.rate.(4),0.95,0.08,12.12,.000,

adoptByPolicy.rate.(5),1.05,0.08,12.92,.000,

adoptByPolicy.rate.(6),1.25,0.09,14.08,.000,

adoptByPolicy.rate.(7),1.42,0.10,14.62,.000,

adoptByPolicy.rate.(8),1.62,0.11,14.77,.000,

adoptByPolicy.rate.(9),2.07,0.15,13.39,.000,

adoptByPolicy.rate.(10),2.20,0.17,12.62,.000,

Impactstatements.mitig.(1),0.46,0.07,6.64,.000,

Impactstatements.mitig.(2),0.69,0.07,9.50,.000,

Impactstatements.mitig.(3),0.84,0.08,11.18,.000,

Impactstatements.mitig.(4),1.01,0.08,12.66,.000,

Impactstatements.mitig.(5),1.11,0.08,13.34,.000,

Impactstatements.mitig.(6),1.35,0.09,14.44,.000,

Impactstatements.mitig.(7),1.50,0.10,14.74,.000,

Impactstatements.mitig.(8),1.65,0.11,14.75,.000,

Impactstatements.mitig.(9),1.96,0.14,13.90,.000,

Impactstatements.mitig.(10),2.20,0.17,12.62,.000,

Impactstatements.understanding.(1),0.08,0.07,1.21,.227,

Impactstatements.understanding.(2),0.23,0.07,3.51,.000,

Impactstatements.understanding.(3),0.31,0.07,4.56,.000,

Impactstatements.understanding.(4),0.45,0.07,6.54,.000,

Impactstatements.understanding.(5),0.54,0.07,7.78,.000,

Impactstatements.understanding.(6),0.62,0.07,8.70,.000,

Impactstatements.understanding.(7),0.72,0.07,9.90,.000,

Impactstatements.understanding.(8),0.97,0.08,12.30,.000,

Impactstatements.understanding.(9),1.27,0.09,14.15,.000,

Impactstatements.understanding.(10),1.59,0.11,14.78,.000,

,Fit Indices,

chi^2,871.44,,,,

CFI,0.98,,,,

TLI,0.98,,,,

RMSEA,0.07,,,,

Scaled chi^2,926.71(289),,,.000,

+Fixed parameter,



