"","id","submitdate","lastpage","startlanguage","seed","token","startdate","datestamp","ipaddr","refurl","transdisciplinaryExp.rate.","age","academicAge","familiarWithSI.response.","projectReference","projectReferenceNo","contribToSI.rate.","motivation.pheno.","motivation.prob.","motivation.welfare.","benefitForNonAcademy","impulseForNonAcad.soc.","impulseForNonAcad.econ.","impulseForNonAcad.ecol.","impulseForNonAcad.health.","impulseForNonAcad.tech.","impulseForNonAcad.other.","groupsInvolved.res.","groupsInvolved.busi.","groupsInvolved.civsoc.","groupsInvolved.policy.","groupsInvolved.citiz.","groupsInvolved.media.","groupsInvolved.welfare.","natureOfInvolvement.res.","natureOfInvolvement.busi.","natureOfInvolvement.civsoc.","natureOfInvolvement.policy.","natureOfInvolvement.citiz.","natureOfInvolvement.media.","natureOfInvolvement.welfare.","targetGroupsGoals.socneeds.","targetGroupsGoals.socgroups.","targetGroupsGoals.improve.","targetGroupsGoals.empower.","targetGroupsGoals.diversity.","concepts.pub.","concepts.data.","concepts.code.","concepts.infra.","concepts.review.","concepts2","concepts3","impactTargetGroup.pub.","impactTargetGroup.busi.","impactTargetGroup.socgr.","impactTargetGroup.welfare.","impactTargetGroup.civsoc.","impactTargetGroup.policy.","impactTargetGroup.acad.","kindOfChange.pub.","kindOfChange.busi.","kindOfChange.socgr.","kindOfChange.welfare.","kindOfChange.civsoc.","kindOfChange.policy.","kindOfChange.acad.","kindOfChangeOther","adoptByPolicy.rate.","adoptByPolicyHow.SQ001.","adoptByPolicyHow.SQ002.","adoptByPolicyHow.SQ003.","adoptByPolicyHow.other.","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","dissChannels.peer.","dissChannels.mono.","dissChannels.conf.","dissChannels.policy.","dissChannels.trad.","dissChannels.prof.","dissChannels.web.","dissChannels.socmed.","dissChannels.platf.","dissChannels.consult.","dissChannels.events.","dissChannels.public.","scalabilityRating.up.","scalabilityRating.out.","scalabilityRating.deep.","interestInSummary","SIthroughSNSF","resultsHighlight","feedback","thankYou"
"11",15,"2021-09-27 07:43:06",9,"en",1698438217,"WQXKKjiWx7aUUbY","2021-09-27 07:30:40","2021-09-27 07:43:06","2001:171b:c9b3:e6c0:6056:913:cb49:b73","",2,"60ies","e",2,"Y",NA,NA,2,2,2,0,"Y","Y","","","","",1,1,0,1,0,1,1,"contr","contr","","cons","","contr","contr",NA,NA,NA,NA,NA,1,0,0,0,1,"N","N",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","","The questions asked are too abstract. I cannot immagine that one can draw general conclusions from the answers.",NA
"12",16,"2021-09-27 07:39:15",9,"en",1093920341,"ST3VNwtrUwjo7Vp","2021-09-27 07:32:38","2021-09-27 07:39:15","46.253.188.4","",1,"60ies","e",1,"Y",NA,NA,10,10,8,1,"","","","","Y","",0,1,0,0,0,0,0,"","cons","","","","","",0,NA,1,0,0,1,1,1,0,0,"N","N",2,2,5,0,0,0,5,"","","att","","","","att","",0,"","","","",5,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,8,99,99,0,"","","",NA
"13",17,"2021-09-27 07:44:53",9,"en",1342326390,"9swaaXiWGqeXHXO","2021-09-27 07:36:06","2021-09-27 07:44:53","46.127.7.148","",9,"50ies","e",3,"Y",NA,NA,9,8,8,1,"","","","Y","","",2,0,0,0,0,0,0,"cocr","","","","","","",0,0,1,0,1,1,1,1,0,1,"N","N",5,3,3,3,3,2,8,"und","","","","","","und","",3,"","","","",2,2,2,2,2,9,1,0,1,0,1,0,1,1,0,0,0,0,99,99,99,0,"","","",NA
"14",20,"2021-09-27 07:56:04",9,"en",938123552,"iYwI2rN3AUNHAYt","2021-09-27 07:43:24","2021-09-27 07:56:04","45.139.215.110","",3,"39d","d",1,"Y",NA,NA,10,10,8,2,"","","","","Y","",0,0,0,0,0,0,0,"","","","","","","",0,0,0,0,1,1,1,0,0,0,"N","Y",7,7,0,0,0,7,8,"und","beh","","","","und","und","",6,"","","","No direct impact that I could witness ",99,99,8,99,3,9,1,1,0,0,0,0,1,1,1,0,0,0,8,99,6,1,"","https://medium.com/@tjukanov/finding-the-most-innovative-square-kilometer-in-europe-with-spatial-sql-46b0fc4bde62

https://www.europeandatajournalism.eu/ell/Ergalehia/H-epiloghe-mas/The-most-innovative-square-kilometers-in-Europe","",NA
"15",21,"2021-09-27 08:12:04",9,"en",2133254482,"53jjRRLovHpzmNx","2021-09-27 07:49:28","2021-09-27 08:12:04","213.55.168.37","",7,"50ies","e",0,"Y",NA,NA,10,7,5,1,"","","","","","Generate knowledge about the role of social contexts for human development",2,0,0,0,0,0,0,"cocr","","","","","","",0,1,1,0,1,1,1,0,0,0,"Y","N",2,0,1,0,0,1,7,"","","","","","","und","",0,"","","","",2,0,8,1,5,7,1,1,1,0,1,0,1,0,0,0,0,0,NA,NA,NA,1,"","","",NA
"16",22,"2021-09-27 17:18:48",9,"en",28124787,"szHJ50Wxc9nvMda","2021-09-27 07:51:22","2021-09-27 17:18:48","2001:620:610:600:2c44:faf3:c392:4060","",3,"50ies","e",2,"Y",NA,NA,10,8,8,2,"Y","Y","","","","",1,0,0,2,0,1,0,"cons","","","colla","","contr","",0,0,1,0,1,1,1,1,1,0,"N","Y",5,1,1,1,1,7,5,"und","","","","","und","und","",8,"","","","changed policy analysis",0,0,8,5,5,4,1,0,0,0,1,1,1,1,0,1,0,0,5,5,98,0,"","","",NA
"17",23,"2021-09-27 08:00:53",9,"en",1851040068,"gYfwiDDy2Dmpssq","2021-09-27 07:54:50","2021-09-27 08:00:53","89.206.112.10","",10,"50ies","e",0,"Y",NA,NA,10,3,3,0,"","","","","","",2,1,0,0,0,2,0,"cocr","contr","","","","contr","",NA,NA,NA,NA,NA,1,1,1,1,0,"N","N",2,2,2,2,2,2,10,"","","","","","","und","",0,"","","","",99,99,99,99,99,99,1,1,1,0,1,1,1,1,1,1,0,1,NA,NA,NA,0,"","","",NA
"18",24,"2021-09-27 08:12:16",9,"en",2056469802,"UfdrNPAjjdEmBIP","2021-09-27 07:58:37","2021-09-27 08:12:16","51.154.24.33","",9,"50ies","e",9,"Y",NA,5,10,9,7,1,"","","","","","A specific Organizational problem ",2,2,2,1,2,0,1,"cocr","colla","cocr","cons","cocr","","contr",1,0,1,1,1,1,0,0,0,0,"N","Y",4,8,2,2,2,2,8,"awar","beh","","","","","und","",2,"","","","",7,2,3,3,7,7,1,0,1,0,0,0,1,0,0,0,1,0,99,8,98,1,"Less attention to new jargon (eg transformational research) that does nothing but rebranding a very old discussion that dates back to 1970s, more attention to better and more robust methods. ","The identification of better inclusion practices that helped various cooperatives to better serve their beneficiaries, integrating social and commercial goals. Or the development of an engagement program that helped a NGO achieve impact in ther projects in Africa. Not in this sampled project though.","Most of my work on social innovation is not SNF funded. The specific project you picked is somewhat related, but social issues are not core in it. I appreciate the focus of the survey is on SNF, but obviously this sampling criterion set me at the margin of this study.",NA
"19",25,"2021-09-27 08:16:23",9,"en",1540544135,"7VGYOvvOlj9o7Xa","2021-09-27 08:04:23","2021-09-27 08:16:23","134.21.48.183","",4,"50ies","e",0,"Y",NA,NA,10,7,3,1,"","","Y","","Y","",2,0,0,1,0,1,0,"cocr","","","contr","","cons","",0,0,1,1,1,1,1,1,0,1,"N","Y",4,2,0,0,0,7,10,"awar","","","","","beh","und","",7,"Y","Y","","",8,4,1,1,7,5,1,1,1,0,1,1,NA,0,0,1,1,1,8,7,4,0,"","","",NA
"20",26,"2021-09-27 08:14:04",9,"en",1643584296,"AirjKKhAV7H5bfJ","2021-09-27 08:06:15","2021-09-27 08:14:04","130.82.1.40","",3,"50ies","e",4,"Y",NA,NA,10,10,5,1,"Y","","","","","",1,0,0,0,0,0,0,"","","","","","","",0,0,0,0,0,0,0,0,0,0,"N","Y",3,0,0,0,0,3,7,"und","","","","","awar","other","contribution to the further development of my research field",1,"","","","",0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,"","","",NA
"21",27,"2021-09-27 08:17:16",9,"en",1781344631,"LhVgXJYUC1mdpgf","2021-09-27 08:07:46","2021-09-27 08:17:16","77.56.73.129","",8,"50ies","e",4,"Y",NA,NA,4,10,7,2,"","","","","Y","",2,0,0,0,0,0,0,"colla","","","","","","",1,0,1,1,1,1,1,0,0,1,"N","N",5,10,0,3,0,0,10,"other","und","","other","","","und","Show how transistors scale when narrow gap materials are used to improve communication systems",5,"","","","",10,10,99,99,99,10,1,0,1,0,0,1,1,0,0,1,0,0,10,8,99,1,"","","",NA
"22",28,"2021-09-27 08:22:07",9,"en",836084548,"vc2APHF7WdXtX0j","2021-09-27 08:10:34","2021-09-27 08:22:07","178.197.225.193","",3,"50ies","e",2,"Y",NA,NA,7,5,3,0,"Y","","","","","",0,0,0,0,0,0,0,"","","","","","","",NA,NA,NA,NA,NA,0,0,0,0,0,"Y","Y",0,0,0,0,0,0,0,"","","","","","","","",0,"","","","",0,0,7,0,3,3,1,1,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,0,"","","",NA
"23",29,"2021-09-27 09:05:42",9,"en",800844360,"jznBxzL6ULl96z5","2021-09-27 08:15:18","2021-09-27 09:05:42","155.105.191.71","",6,"50ies","e",6,"Y",NA,8,8,7,7,2,"","","Y","","Y","",1,0,0,1,0,0,0,"cocr","","","contr","","","",1,0,0,0,0,1,1,0,0,1,"N","Y",2,5,0,0,5,7,9,"","awar","","","und","beh","beh","",7,"","","","methodology",6,2,6,8,10,10,1,NA,1,0,0,1,0,0,0,0,0,0,7,7,1,1,"","In our project, we developed new methods of evaluating the contamination of the environment with radionuclides. These methods are now under evaluation by the Swiis nuclear industry to implement them in the control of effluents from the power plants and during nuclear dismentling. They are also under evaluation (and partly granted) by the Swiss Federal Office of Public Health in the frame of the Environmental Radioactivity Survey Plan.  We also apply the methods in a project with a French NGO (ACRO) in the discovering of a former contamination of the environnent nearby the la Hague reprocessing plant.","FNS granted a companion study to this one and we are currently evaluating environmental contamination by radionuclides nearby the Sellafield reprocessing plant. We were able to evaluate for the first time the fluxes of Pu, A, and U from the contaminated sediments to the water. These data will be used in a new model of determining the radioactive dose to the public living in proximity of the plant. This defines eventually the sense of ""social innovation"" of our projects.",NA
"24",30,"2021-09-27 08:30:36",9,"en",1789685022,"wa39hyhnLM33HY6","2021-09-27 08:15:48","2021-09-27 08:30:36","129.194.178.89","",3,"60ies","e",0,"Y",NA,NA,10,8,5,0,"","","Y","","Y","",1,0,0,1,0,1,1,"cons","","","cons","","cons","cons",NA,NA,NA,NA,NA,0,1,0,0,0,"N","N",1,0,0,0,0,1,3,"","","","","","","und","",99,"","","","",99,99,99,99,99,99,1,0,1,0,1,0,1,0,0,0,0,1,NA,NA,NA,0,"","","My research dealt with research on hydrogen storage materials which is one of the many aspects related to the clean hydrogen energy. 
This research was about fundamental investigations on chemical and physical issues related to the materials investigated, and therefore still very far from practical applications.",NA
"25",31,"2021-09-27 08:31:33",9,"en",1956164247,"Yi9IS5yiDolODHH","2021-09-27 08:19:50","2021-09-27 08:31:33","185.12.129.180","",5,"50ies","e",5,"Y",NA,0,10,0,1,0,"","","","","","purely scientific problem",0,0,0,0,0,0,0,"","","","","","","",NA,NA,NA,NA,NA,1,0,1,0,1,"N","N",0,0,0,0,0,0,9,"","","","","","","und","",0,"","","","",0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,"The main criteria to judge a project should be its scientific quality, and its truth value. I'm afraid that introducing measures of ""social innovation"" in research is likely to lead, as a side-effect, to promotion of fashionable ideological agendas with low scientific quality. ","","",NA
"26",32,"2021-09-27 08:29:47",9,"en",1909462858,"hQPUcZHmi4zbsGN","2021-09-27 08:20:01","2021-09-27 08:29:47","62.202.189.17","",5,"50ies","e",7,"Y",NA,0,0,0,0,0,"","","","","","",0,0,0,0,0,0,0,"","","","","","","",NA,NA,NA,NA,NA,1,0,0,0,0,"Y","N",0,0,0,0,0,0,1,"","","","","","","","",0,"","","","",0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,NA,NA,NA,0,"","","I guess the title of my project ""Infinite groups and their actions..."" led to a misunderstanding. This project is in the area of pure mathematics called Group Theory and has strictly nothing to do with social sciences. The project was clearly chosen by mistake and the questions that I had to answer just don't at all apply to it.",NA
"27",33,"2021-09-27 08:28:39",9,"en",1046911473,"Kd1fPamcpspgA6A","2021-09-27 08:21:16","2021-09-27 08:28:39","46.183.103.8","",5,"40ies","e",0,"Y",NA,NA,5,10,9,1,"","","","Y","","",0,0,0,0,0,0,0,"","","","","","","",0,0,1,0,0,1,1,0,0,0,"N","N",4,2,0,0,0,0,10,"","","","","","","und","",0,"","","","",0,0,0,0,0,99,1,0,1,0,0,0,1,1,0,0,0,0,5,8,0,1,"","","",NA
"28",34,"2021-09-27 08:31:44",9,"en",985874860,"WtFN0X58BK58iOA","2021-09-27 08:22:21","2021-09-27 08:31:44","2001:67c:10ec:5789:8000::238","",7,"60ies","e",8,"Y",NA,5,9,8,5,0,"","","","","","basic research",1,0,0,0,0,1,0,"contr","","","","","contr","",NA,NA,NA,NA,NA,1,1,0,0,1,"N","N",2,1,0,0,0,0,7,"","","","","","","und","",0,"","","","",0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,NA,NA,NA,1,"","","",NA
"29",35,"2021-09-27 08:36:45",9,"en",1674681159,"BGQooDdi7cwQT1J","2021-09-27 08:26:27","2021-09-27 08:36:45","178.197.232.117","",4,"50ies","e",10,"Y",NA,3,10,6,8,2,"","","","","","a lack of historical reflexivity",2,1,2,1,2,2,0,"colla","contr","colla","colla","colla","cons","",1,1,1,1,1,1,1,0,0,0,"Y","N",10,0,10,3,6,3,8,"und","","awar","und","awar","und","awar","",10,"","","","Changed awareness about historical events",6,10,7,8,10,10,1,1,1,0,1,1,1,1,0,0,1,1,6,7,7,0,"","","",NA
"30",37,"2021-09-27 08:49:23",9,"en",382178034,"sN6xjiVjaEMlx5y","2021-09-27 08:30:02","2021-09-27 08:49:23","77.57.52.106","",7,"50ies","e",0,"Y",NA,NA,7,6,8,2,"","","","","","improve education",2,0,0,0,0,0,0,"cocr","","","","","","",0,0,1,1,1,1,1,0,0,0,"Y","N",0,0,0,10,0,0,2,"","","","att","","","","",2,"","","","",7,7,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,10,10,1,1,"","","",NA
"31",38,"2021-09-27 08:46:55",9,"en",288461204,"ivMzqmebHLWqziS","2021-09-27 08:30:49","2021-09-27 08:46:55","129.194.178.12","",10,"60ies","e",0,"Y",NA,NA,10,0,2,1,"","","","","","To participate to the desire of Society to get a better understanding of the position of human being in the cosmos",1,0,0,0,1,1,1,"cons","","","","cons","cons","cons",0,1,0,0,1,1,1,1,1,1,"Y","N",3,0,3,3,0,0,10,"und","","und","und","","","und","",0,"","","","",0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,NA,NA,NA,1,"","Astrophysics has some indirect and direct links with Society. Indirect links are those links that allow to promote diversity in Academic world, in giving path for academic carrier to diversity. Indirectly astrophysics fosters technological development by the specific devices that are needed to improve the collection, analysis of data, by exploring some frontiers in physics and by educating general people on the position of humanity in the Cosmos.","Although astrophysical sciences, as in general fundamental reserach, have not directly as an objective to improve some specific societal problem, it constitutes an activity that is part of the human culture and thus participates in making (wo)mankind becoming more and more aware and lucid about her/his position in the Universe. It is also a fantastic area for promoting a rational attitude towards reality and is thus a tool to cultivate a critical and reasonable mind.",NA
"32",39,"2021-09-27 09:25:10",9,"en",559963651,"Qoyazx2ZAY3B9gu","2021-09-27 08:34:59","2021-09-27 09:25:10","193.134.187.46","",5,"50ies","e",0,"Y",NA,NA,10,10,1,1,"","","Y","","Y","",1,NA,NA,1,2,1,0,"cocr","","","cons","contr","cons","",0,0,0,0,1,1,1,0,0,0,"N","N",5,0,0,0,0,0,10,"und","","","","","","und","",0,"","","","",5,0,0,0,10,10,1,1,1,0,1,1,1,0,0,1,1,1,1,8,0,1,"","In the Alps, fissures minerals formed not at once, but episodically between 90 and 5 Million years.","Tectonic movements do not only cause the formation Alpine fissures, but they also cause deformation of the fluid-filled fissures, leading to chemical disequilibrium,  to dissolution of minerals from the surrounding rock, and to crystallization of minerals in the fissures.",NA
"33",41,"2021-09-27 08:53:45",9,"en",1054840456,"oYj2eSf3baNqMuh","2021-09-27 08:39:21","2021-09-27 08:53:45","130.60.196.4","",6,"60ies","e",0,"Y",NA,NA,10,10,10,0,"","","","Y","Y","",1,0,0,0,0,0,0,"contr","","","","","","",NA,NA,NA,NA,NA,1,0,0,1,0,"N","N",0,0,0,0,0,0,7,"","","","","","","und","",0,"","","","",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,"","","",NA
"34",42,"2021-09-27 08:49:09",9,"en",1743424566,"NKuMud1HBVoIy4T","2021-09-27 08:41:28","2021-09-27 08:49:09","130.60.94.196","",3,"40ies","d",0,"Y",NA,NA,10,10,2,1,"","","","","","",1,0,0,0,0,1,0,"cons","","","","","cons","",0,0,0,0,1,1,1,1,0,1,"N","N",2,1,5,3,1,1,5,"","","","","","","","",99,"","","","",99,99,99,99,99,99,1,0,0,0,0,0,1,1,1,0,1,1,99,99,99,0,"","","",NA
"35",43,"2021-09-27 08:50:55",9,"en",1104520147,"ostVBAx3HHd4jXH","2021-09-27 08:46:33","2021-09-27 08:50:55","146.232.65.237","",7,"50ies","e",3,"Y",NA,NA,10,0,0,0,"","","","","","",2,0,0,0,0,0,0,"colla","","","","","","",NA,NA,NA,NA,NA,1,1,1,0,0,"N","N",0,0,0,0,0,0,5,"","","","","","","und","",0,"","","","",0,0,0,0,0,7,1,0,0,0,0,1,1,0,1,0,0,0,NA,NA,NA,1,"","","",NA
"36",45,"2021-09-27 14:26:42",9,"en",919377095,"3tp0ozcvpYFMEp6","2021-09-27 08:57:37","2021-09-27 14:26:42","37.173.128.25","",9,"50ies","e",7,"Y",NA,7,9,8,8,1,"Y","","","Y","","",2,0,2,1,2,0,2,"colla","","cons","cons","cons","","cons",1,1,1,1,1,0,1,0,1,1,"Y","N",2,1,10,8,8,7,7,"","","und","awar","awar","awar","und","",8,"Y","","","",8,8,9,99,7,8,1,1,1,0,1,1,0,1,0,0,1,0,NA,NA,7,1,"","","",NA
"37",46,"2021-09-27 09:06:18",9,"en",347143855,"WgaNNZNKaiBuWLO","2021-09-27 09:01:46","2021-09-27 09:06:18","131.152.115.75","",9,"60ies","e",6,"Y",NA,7,8,9,10,2,"","","Y","","","",1,0,0,0,0,1,0,"contr","","","","","cons","",0,0,1,0,0,1,1,0,0,1,"N","Y",3,2,0,0,4,3,7,"att","","","","awar","awar","att","",2,"","","","",5,0,6,3,0,0,1,1,1,0,0,1,1,0,0,1,1,1,6,0,2,1,"","","",NA
"38",48,"2021-09-27 09:12:34",9,"en",2030259171,"4JUEfvRUlF7487j","2021-09-27 09:03:27","2021-09-27 09:12:34","129.194.133.30","",6,"50ies","e",4,"Y",NA,NA,10,10,5,1,"Y","","","Y","Y","",2,0,0,0,0,0,0,"cocr","","","","","","",0,0,1,0,1,0,0,0,0,1,"Y","N",5,0,0,8,0,0,8,"und","","","und","","","und","",5,"","","","more sensible",4,3,7,0,9,6,1,1,1,0,1,1,0,1,0,0,0,0,6,6,7,0,"","","",NA
