Funding;Funding_Submitted;Funding_SuccessRate;FundingInstrumentGaLevel1;FundingInstrumentReporting;Grants;Grants_Submitted;Grants_SuccessRate;MainDisciplineLevel1;MainDisciplineLevel2;Year
250000.000000;250000.000000;1.000000;Infrastructure;R'EQUIP;1;1;1.000000;Biology and Medicine;General Biology;2012
100000.000000;100000.000000;1.000000;Programmes;NRP 68 Sustainable Use of Soil as a Resource;1;1;1.000000;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2016
1673187.000000;8510622.000000;0.196600;Careers;SNSF Professorships;2;7;0.285700;Biology and Medicine;General Biology;2006
2811758.000000;6734675.000000;0.417500;Careers;Fellowships;33;81;0.407400;Mathematics, Natural- and Engineering Sciences;Chemistry;2020
0.000000;592200.000000;0.000000;Programmes;NRP 65 New urban quality;0;1;0.000000;Mathematics, Natural- and Engineering Sciences;Earth Sciences;2010
0.000000;267215.000000;0.000000;Programmes;Investigator Initiated Clinical Trials (IICT);0;1;0.000000;Biology and Medicine;Basic Medical Sciences;2017
4367332.000000;6185299.000000;0.706100;Careers;SNSF Professorships;4;5;0.800000;Mathematics, Natural- and Engineering Sciences;Physics;2015
16115151.000000;59116601.000000;0.272600;Project funding;Project funding (Div. I-III);51;153;0.333300;Biology and Medicine;Clinical Medicine;2009
6500.000000;19700.000000;0.329900;Science communication;Scientific Conferences;3;3;1.000000;Mathematics, Natural- and Engineering Sciences;Engineering Sciences;2007
50802.000000;54626.000000;0.930000;Science communication;Open Access Article;26;28;0.928600;Biology and Medicine;Preventive Medicine (Epidemiology/Early Diagnosis/Prevention);2019
19980.000000;42420.000000;0.471000;Science communication;International Exploratory Workshops;1;2;0.500000;Biology and Medicine;General Biology;2012
3796976.000000;82535461.000000;0.046000;Careers;SNSF Professorships;3;58;0.051700;Mathematics, Natural- and Engineering Sciences;Engineering Sciences;2014
1172974.000000;2128803.000000;0.551000;Infrastructure;R'EQUIP;7;9;0.777800;Mathematics, Natural- and Engineering Sciences;Environmental Sciences;2009
553377.000000;1023700.000000;0.540600;Careers;Ambizione Energy;1;2;0.500000;Mathematics, Natural- and Engineering Sciences;Environmental Sciences;2014
0.000000;999452.000000;0.000000;Programmes;NRP 78 Covid-19;0;1;0.000000;Mathematics, Natural- and Engineering Sciences;Environmental Sciences;2020
486084.000000;487184.000000;0.997700;Programmes;ProDoc;2;2;1.000000;Humanities and Social Sciences;Psychology, educational studies;2008
1869734.000000;2960494.000000;0.631600;Careers;Ambizione;4;6;0.666700;Mathematics, Natural- and Engineering Sciences;Earth Sciences;2009
3886436.000000;5710877.000000;0.680500;Careers;Fellowships;57;87;0.655200;Humanities and Social Sciences;Linguistics and literature, philosophy;2013
0.000000;250000.000000;0.000000;Infrastructure;R'EQUIP;0;1;0.000000;Biology and Medicine;Preventive Medicine (Epidemiology/Early Diagnosis/Prevention);2014
6816782.000000;18912017.000000;0.360400;Programmes;Sinergia;5;12;0.416700;Mathematics, Natural- and Engineering Sciences;Engineering Sciences;2015
2648014.450000;9666247.640000;0.273900;Programmes;Sinergia;1;5;0.074700;Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture;2019
496334.000000;1818708.000000;0.272900;Programmes;NRP 68 Sustainable Use of Soil as a Resource;1;5;0.200000;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2012
30000.000000;45000.000000;0.666700;Science communication;Scientific Conferences;3;3;1.000000;Biology and Medicine;Experimental Medicine;2014
0.000000;3332504.000000;0.000000;Careers;EURYI (European Young Investigators);0;2;0.000000;Biology and Medicine;Basic Medical Sciences;2006
7674267.000000;23726859.000000;0.323400;Careers;Eccellenza;5;16;0.312500;Humanities and Social Sciences;Linguistics and literature, philosophy;2019
2558753.000000;6662579.000000;0.384000;Programmes;NRP 70 Energy Turnaround;5;16;0.312500;Mathematics, Natural- and Engineering Sciences;Chemistry;2014
831339.000000;827739.000000;1.004300;Programmes;NRP 54 Sustainable Development of the Built Environment;3;3;1.000000;Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture;2005
72474.000000;81636.000000;0.887800;Science communication;Open Access Article;38;41;0.926800;Mathematics, Natural- and Engineering Sciences;Environmental Sciences;2020
5621621.000000;16008374.000000;0.351200;Project funding;Project funding (Div. I-III);26;56;0.464300;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2006
1777975.000000;1954358.000000;0.909700;Infrastructure;Research Infrastructure;3;3;1.000000;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2008
17510.000000;17510.000000;1.000000;Science communication;International Exploratory Workshops;1;1;1.000000;Biology and Medicine;Preventive Medicine (Epidemiology/Early Diagnosis/Prevention);2011
2900350.000000;11032511.000000;0.262900;Careers;SNSF Professorships;2;8;0.250000;Mathematics, Natural- and Engineering Sciences;Mathematics;2012
1275145.000000;3010122.000000;0.423600;Careers;Fellowships;26;47;0.553200;Mathematics, Natural- and Engineering Sciences;Chemistry;2006
1132013.000000;4881640.000000;0.231900;Programmes;NRP 73 Sustainable Economy;3;14;0.214300;Humanities and Social Sciences;Economics, law;2019
1638409.000000;1735981.000000;0.943800;Programmes;Sinergia;1;1;1.000000;Humanities and Social Sciences;Ethnology, social and human geography;2009
2260720.000000;4659213.000000;0.485200;Careers;Fellowships;26;56;0.464300;Biology and Medicine;General Biology;2018
0.000000;307827.000000;0.000000;Programmes;COST (European Cooperation in Science and Technology);0;1;0.000000;Mathematics, Natural- and Engineering Sciences;Astronomy, Astrophysics and Space Sciences;2017
937668.000000;2164728.000000;0.433200;Careers;Marie Heim-Voegtlin grants;7;13;0.538500;Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;2015
3683411.000000;11866025.000000;0.310400;Careers;SNSF Professorships;3;11;0.272700;Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;2011
389530.000000;584530.000000;0.666400;Programmes;SCOPES;2;3;0.666700;Mathematics, Natural- and Engineering Sciences;Chemistry;2015
1593977.000000;6120181.000000;0.260400;Project funding;Spark;17;67;0.253700;Humanities and Social Sciences;Psychology, educational studies;2019
130000.000000;618002.000000;0.210400;Programmes;Bridge - Proof of Concept;1;5;0.200000;Biology and Medicine;Basic Biological Research;2018
59100.000000;69970.000000;0.844600;Careers;International short research visits;7;8;0.875000;Biology and Medicine;Experimental Medicine;2014
1144680.000000;3498272.000000;0.327200;Careers;Fellowships;21;44;0.477300;Biology and Medicine;General Biology;2012
88505.000000;114658.000000;0.771900;Science communication;Publication grants;9;10;0.900000;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2015
408726.000000;749440.000000;0.545400;Programmes;NRP 76 Welfare and coercion;1;2;0.500000;Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;2019
0.000000;499753.000000;0.000000;Programmes;Research partnership North/South;0;1;0.000000;Mathematics, Natural- and Engineering Sciences;Environmental Sciences;2010
3521853.000000;4123097.000000;0.854200;Infrastructure;R'EQUIP;10;10;1.000000;Biology and Medicine;Basic Biological Research;2011
489218.000000;1478481.000000;0.330900;Careers;Marie Heim-Voegtlin grants;3;8;0.375000;Biology and Medicine;Basic Medical Sciences;2009
0.000000;0.000000;;Careers;International short research visits;0;1;0.000000;Mathematics, Natural- and Engineering Sciences;Astronomy, Astrophysics and Space Sciences;2012
237891.000000;1960247.000000;0.121400;Careers;Marie Heim-Voegtlin grants;1;9;0.111100;Biology and Medicine;Basic Medical Sciences;2013
1371469.000000;1576478.000000;0.870000;Programmes;Clinical Trial Units;3;3;1.000000;Biology and Medicine;Social Medicine;2010
0.000000;358200.000000;0.000000;Programmes;Research partnership North/South;0;1;0.000000;Mathematics, Natural- and Engineering Sciences;Mathematics;2010
0.000000;4293892.000000;0.000000;Careers;SNSF Professorships;0;3;0.000000;Mathematics, Natural- and Engineering Sciences;Environmental Sciences;2009
1183493.000000;2471419.000000;0.478900;Careers;Fellowships;27;45;0.600000;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2007
22682187.000000;32353054.000000;0.701100;Project funding;Project funding (Div. I-III);41;55;0.745500;Mathematics, Natural- and Engineering Sciences;Mathematics;2018
0.000000;177340.000000;0.000000;Science communication;Agora;0;1;0.000000;Biology and Medicine;Experimental Medicine;2018
1915972.900000;13577038.670000;0.141100;Programmes;Sinergia;1;6;0.062200;Humanities and Social Sciences;Linguistics and literature, philosophy;2017
5000.000000;9300.000000;0.537600;Careers;International short research visits;1;3;0.333300;Biology and Medicine;Preventive Medicine (Epidemiology/Early Diagnosis/Prevention);2016
3060119.000000;7923909.000000;0.386200;Careers;SNSF Professorships;3;6;0.500000;Biology and Medicine;General Biology;2016
1395616.000000;1454616.000000;0.959400;Programmes;NRP 54 Sustainable Development of the Built Environment;5;5;1.000000;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2005
2112608.000000;3638713.000000;0.580600;Careers;Fellowships;26;43;0.604700;Mathematics, Natural- and Engineering Sciences;Physics;2019
1354095.000000;4583750.000000;0.295400;Project funding;Project funding (special);6;22;0.272700;Humanities and Social Sciences;Linguistics and literature, philosophy;2018
0.000000;6228024.000000;0.000000;Careers;Eccellenza;0;4;0.000000;Humanities and Social Sciences;Ethnology, social and human geography;2018
20080.000000;25080.000000;0.800600;Careers;International short research visits;3;3;1.000000;Humanities and Social Sciences;Ethnology, social and human geography;2010
0.000000;19225927.000000;0.000000;Careers;Eccellenza;0;13;0.000000;Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;2019
213846.000000;414380.000000;0.516100;Careers;Fellowships;3;4;0.750000;Biology and Medicine;Social Medicine;2010
60000.000000;60000.000000;1.000000;Infrastructure;R'EQUIP;1;1;1.000000;Biology and Medicine;General Biology;2013
0.000000;268000.000000;0.000000;Science communication;Agora;0;2;0.000000;Humanities and Social Sciences;Psychology, educational studies;2016
959540.000000;8191678.000000;0.117100;Programmes;Special Call on Coronaviruses;4;27;0.148100;Biology and Medicine;Clinical Medicine;2020
0.000000;547903.000000;0.000000;Programmes;Bilateral programmes;0;2;0.000000;Mathematics, Natural- and Engineering Sciences;Mathematics;2019
882278.000000;2123267.000000;0.415500;Careers;Ambizione;2;4;0.500000;Biology and Medicine;Preventive Medicine (Epidemiology/Early Diagnosis/Prevention);2012
282644.000000;433625.000000;0.651800;Science communication;Scientific Conferences;37;38;0.973700;Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;2012
50000.000000;50000.000000;1.000000;Careers;DORE junior researchers;2;2;1.000000;Humanities and Social Sciences;Psychology, educational studies;2007
140664.000000;173856.000000;0.809100;Careers;Marie Heim-Voegtlin grants;1;1;1.000000;Humanities and Social Sciences;Linguistics and literature, philosophy;2017
2832280.670000;16394914.160000;0.172800;Programmes;Sinergia;1;7;0.039000;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2018
0.000000;794190.000000;0.000000;Programmes;Research partnership North/South;0;2;0.000000;Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;2005
2365601.000000;7141418.000000;0.331300;Careers;Ambizione;5;14;0.357100;Mathematics, Natural- and Engineering Sciences;Mathematics;2017
2224887.000000;6302583.000000;0.353000;Careers;Fellowships;22;63;0.349200;Biology and Medicine;Experimental Medicine;2017
136970.000000;1817540.000000;0.075400;Careers;Doc.CH (until 2020);1;11;0.090900;Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture;2013
1139612.000000;6545754.000000;0.174100;Careers;Ambizione;2;9;0.222200;Biology and Medicine;Clinical Medicine;2008
0.000000;11147556.000000;0.000000;Careers;SNSF Professorships;0;7;0.000000;Biology and Medicine;Preventive Medicine (Epidemiology/Early Diagnosis/Prevention);2018
37200.000000;73040.000000;0.509300;Science communication;Scientific Conferences;10;10;1.000000;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2017
1767841.000000;4065091.000000;0.434900;Careers;Fellowships;22;51;0.431400;Humanities and Social Sciences;Ethnology, social and human geography;2019
1149082.000000;2158127.000000;0.532400;Careers;Fellowships;16;28;0.571400;Mathematics, Natural- and Engineering Sciences;Earth Sciences;2013
719170.000000;719170.000000;1.000000;Programmes;ERA-NET;2;2;1.000000;Biology and Medicine;General Biology;2015
567816.000000;2942487.000000;0.193000;Programmes;NRP 63 Stem cells and regenerative medicine;1;6;0.166700;Biology and Medicine;Experimental Medicine;2010
64483.000000;121051.000000;0.532700;Science communication;Scientific Conferences;12;13;0.923100;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2015
149610.000000;149610.000000;1.000000;Science communication;Scientific Exchanges;12;12;1.000000;Mathematics, Natural- and Engineering Sciences;Chemistry;2017
120365.000000;693275.000000;0.173600;Science communication;Agora;1;5;0.200000;Mathematics, Natural- and Engineering Sciences;Environmental Sciences;2012
0.000000;385990.000000;0.000000;Programmes;Bridge - Proof of Concept;0;3;0.000000;Biology and Medicine;Preventive Medicine (Epidemiology/Early Diagnosis/Prevention);2018
291510.000000;2659312.000000;0.109600;Project funding;Spark;3;28;0.107100;Biology and Medicine;Preventive Medicine (Epidemiology/Early Diagnosis/Prevention);2020
0.000000;81550.000000;0.000000;Science communication;Publication grants;0;4;0.000000;Biology and Medicine;General Biology;2008
2801960.000000;5191210.000000;0.539800;Careers;Fellowships;37;63;0.587300;Mathematics, Natural- and Engineering Sciences;Physics;2015
6074950.000000;14336779.000000;0.423700;Careers;Fellowships;97;149;0.651000;Biology and Medicine;Basic Biological Research;2012
171971.000000;171971.000000;1.000000;Programmes;ERA-NET;1;1;1.000000;Humanities and Social Sciences;Linguistics and literature, philosophy;2017
0.000000;13400.000000;0.000000;Science communication;DORE Publications;0;1;0.000000;Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture;2010
1426788.000000;1508270.000000;0.946000;Careers;SNSF Professorships;2;2;1.000000;Biology and Medicine;Clinical Medicine;2019
15805023.000000;27881402.000000;0.566900;Project funding;Project funding (Div. I-III);28;50;0.560000;Mathematics, Natural- and Engineering Sciences;Earth Sciences;2018
2010024.000000;5753963.000000;0.349300;Careers;Fellowships;25;68;0.367600;Biology and Medicine;General Biology;2016
2657357.000000;12335895.000000;0.215400;Careers;Ambizione;3;15;0.200000;Biology and Medicine;Clinical Medicine;2020
27000.000000;118850.000000;0.227200;Science communication;Scientific Conferences;6;7;0.857100;Mathematics, Natural- and Engineering Sciences;Physics;2006
0.000000;295050.000000;0.000000;Programmes;Special Call on Coronaviruses;0;1;0.000000;Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;2020
7313799.000000;14979928.000000;0.488200;Careers;Ambizione;8;16;0.500000;Biology and Medicine;Basic Biological Research;2018
92800.000000;346096.000000;0.268100;Programmes;Bridge - Proof of Concept;1;3;0.333300;Mathematics, Natural- and Engineering Sciences;Environmental Sciences;2017
0.000000;321277.000000;0.000000;Infrastructure;R'EQUIP;0;3;0.000000;Biology and Medicine;General Biology;2009
0.000000;342488.000000;0.000000;Programmes;Bridge - Proof of Concept;0;3;0.000000;Biology and Medicine;General Biology;2020
1043137.000000;3219843.000000;0.324000;Programmes;Bilateral programmes;3;10;0.300000;Mathematics, Natural- and Engineering Sciences;Chemistry;2016
1176419.000000;3295592.000000;0.357000;Careers;Fellowships;18;45;0.400000;Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture;2020
0.000000;1731790.000000;0.000000;Careers;EURYI (European Young Investigators);0;1;0.000000;Biology and Medicine;Preventive Medicine (Epidemiology/Early Diagnosis/Prevention);2006
3817244.000000;4133634.000000;0.923500;Programmes;SPUM;2;2;1.000000;Biology and Medicine;Basic Medical Sciences;2012
0.000000;9517568.000000;0.000000;Careers;SNSF Professorships;0;7;0.000000;Humanities and Social Sciences;Economics, law;2010
69760.000000;221360.000000;0.315100;Science communication;Scientific Conferences;9;15;0.600000;Mathematics, Natural- and Engineering Sciences;Engineering Sciences;2014
44810.000000;44810.000000;1.000000;Science communication;International Exploratory Workshops;2;2;1.000000;Biology and Medicine;Clinical Medicine;2012
263340.000000;391690.000000;0.672300;Science communication;Scientific Conferences;38;38;1.000000;Humanities and Social Sciences;Linguistics and literature, philosophy;2011
0.000000;38876.000000;0.000000;Science communication;Scientific Conferences;0;4;0.000000;Biology and Medicine;Clinical Medicine;2006
0.000000;312000.000000;0.000000;Infrastructure;R'EQUIP;0;2;0.000000;Biology and Medicine;Clinical Medicine;2006
4159442.000000;29875228.000000;0.139200;Careers;SNSF Professorships;6;25;0.240000;Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;2018
122520.000000;122520.000000;1.000000;Science communication;Open Access Books;6;6;1.000000;Humanities and Social Sciences;Ethnology, social and human geography;2018
5610.000000;5610.000000;1.000000;Careers;International short research visits;1;1;1.000000;Biology and Medicine;Experimental Medicine;2008
424451.000000;4190939.000000;0.101300;Careers;Ambizione;1;9;0.111100;Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture;2016
0.000000;4954003.000000;0.000000;Programmes;Bridge - Discovery;0;5;0.000000;Mathematics, Natural- and Engineering Sciences;Chemistry;2020
11000.000000;49950.000000;0.220200;Science communication;Scientific Conferences;3;4;0.750000;Biology and Medicine;General Biology;2005
10190.000000;10190.000000;1.000000;Careers;International short research visits;1;1;1.000000;Mathematics, Natural- and Engineering Sciences;Mathematics;2014
2792093.000000;2882247.000000;0.968700;Programmes;r4d (Swiss Programme for Research on Global Issues for Development);3;3;1.000000;Humanities and Social Sciences;Economics, law;2020
9060152.000000;28373346.000000;0.319300;Programmes;Sinergia;10;18;0.555600;Mathematics, Natural- and Engineering Sciences;Engineering Sciences;2009
24143500.000000;26331792.000000;0.916900;Infrastructure;Research Infrastructure;4;4;1.000000;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2016
59290.000000;88850.000000;0.667300;Science communication;International Exploratory Workshops;5;7;0.714300;Humanities and Social Sciences;Psychology, educational studies;2015
0.000000;319833.000000;0.000000;Programmes;COST (European Cooperation in Science and Technology);0;1;0.000000;Biology and Medicine;Basic Medical Sciences;2020
3465458.000000;29000364.000000;0.119500;Careers;SNSF Professorships;4;23;0.173900;Humanities and Social Sciences;Psychology, educational studies;2014
5757744.000000;15024256.000000;0.383200;Careers;Fellowships;66;164;0.402400;Biology and Medicine;Basic Biological Research;2017
145500.000000;145500.000000;1.000000;Programmes;NRP 70 Energy Turnaround;1;1;1.000000;Humanities and Social Sciences;Psychology, educational studies;2014
57250.000000;112911.000000;0.507000;Science communication;Scientific Conferences;12;12;1.000000;Humanities and Social Sciences;Linguistics and literature, philosophy;2017
698020.000000;3735540.000000;0.186900;Programmes;Bilateral programmes;3;16;0.187500;Mathematics, Natural- and Engineering Sciences;Engineering Sciences;2014
720000.000000;600000.000000;1.200000;Careers;MD-PhD fellowships;4;4;1.000000;Biology and Medicine;Experimental Medicine;2008
4051072.000000;6741743.000000;0.600900;Programmes;NRP 77 Digital Transformation;7;13;0.538500;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2020
0.000000;229553.000000;0.000000;Programmes;Bilateral programmes;0;1;0.000000;Biology and Medicine;Social Medicine;2013
1540867.000000;2110000.000000;0.730300;Programmes;NRP 61 Sustainable Water Management;3;5;0.600000;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2009
0.000000;10512229.000000;0.000000;Careers;SNSF Professorships;0;7;0.000000;Mathematics, Natural- and Engineering Sciences;Earth Sciences;2014
129650.000000;371780.000000;0.348700;Careers;Fellowships;2;5;0.400000;Biology and Medicine;Social Medicine;2007
14114.000000;20067.000000;0.703300;Science communication;Open Access Article;4;5;0.800000;Biology and Medicine;Experimental Medicine;2018
13170873.030000;50158096.920000;0.262600;Programmes;Sinergia;6;21;0.070600;Biology and Medicine;Basic Biological Research;2017
350000.000000;1195092.000000;0.292900;Programmes;Bilateral programmes;1;4;0.250000;Mathematics, Natural- and Engineering Sciences;Earth Sciences;2019
284810.000000;301410.000000;0.944900;Science communication;Open Access Books;20;21;0.952400;Humanities and Social Sciences;Linguistics and literature, philosophy;2018
875448.000000;2157957.000000;0.405700;Programmes;NRP 69 Healthy Nutrition and Sustainable Food Production;1;3;0.333300;Biology and Medicine;Social Medicine;2016
13200.000000;64200.000000;0.205600;Science communication;International Exploratory Workshops;1;3;0.333300;Biology and Medicine;Basic Biological Research;2005
29500.000000;66750.000000;0.441900;Science communication;Scientific Conferences;5;5;1.000000;Biology and Medicine;Basic Biological Research;2016
536617.000000;613674.000000;0.874400;Infrastructure;FINES / ESO;2;2;1.000000;Mathematics, Natural- and Engineering Sciences;Astronomy, Astrophysics and Space Sciences;2011
72770.000000;79970.000000;0.910000;Science communication;Scientific Exchanges;5;6;0.833300;Mathematics, Natural- and Engineering Sciences;Physics;2019
57920.000000;70700.000000;0.819200;Science communication;International Exploratory Workshops;6;7;0.857100;Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;2015
474360.000000;719727.000000;0.659100;Science communication;Publication grants;52;57;0.912300;Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;2010
1592982.000000;4987686.000000;0.319400;Programmes;NRP 68 Sustainable Use of Soil as a Resource;4;12;0.333300;Biology and Medicine;General Biology;2012
477527.000000;4362313.000000;0.109500;Careers;Ambizione;1;9;0.111100;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2014
7500.000000;7500.000000;1.000000;Careers;International short research visits;1;1;1.000000;Biology and Medicine;Basic Medical Sciences;2007
418700.000000;1110971.000000;0.376900;Careers;Fellowships;6;15;0.400000;Biology and Medicine;Preventive Medicine (Epidemiology/Early Diagnosis/Prevention);2013
2035418.000000;5011239.000000;0.406200;Careers;Fellowships;29;66;0.439400;Humanities and Social Sciences;Psychology, educational studies;2016
181411.000000;211235.000000;0.858800;Science communication;Open Access Article;64;72;0.888900;Biology and Medicine;Experimental Medicine;2020
5440.000000;5440.000000;1.000000;Science communication;Publication grants;1;1;1.000000;Mathematics, Natural- and Engineering Sciences;Mathematics;2017
13413564.000000;27051331.000000;0.495900;Project funding;Project funding (Div. I-III);45;74;0.608100;Mathematics, Natural- and Engineering Sciences;Earth Sciences;2014
1281494.000000;9824491.000000;0.130400;Careers;Ambizione;3;23;0.130400;Humanities and Social Sciences;Linguistics and literature, philosophy;2015
1338964.000000;1338964.000000;1.000000;Infrastructure;R'EQUIP;2;2;1.000000;Mathematics, Natural- and Engineering Sciences;Earth Sciences;2017
280745.000000;5702074.000000;0.049200;Programmes;Special Call on Coronaviruses;1;21;0.047600;Humanities and Social Sciences;Economics, law;2020
4220606.000000;13117156.000000;0.321800;Careers;PRIMA;3;10;0.300000;Biology and Medicine;Basic Biological Research;2019
182633.000000;611464.000000;0.298700;Careers;Marie Heim-Voegtlin grants;2;4;0.500000;Biology and Medicine;Experimental Medicine;2005
100000.000000;759600.000000;0.131600;Programmes;SCOPES;1;5;0.200000;Mathematics, Natural- and Engineering Sciences;Mathematics;2009
165680.000000;228797.000000;0.724100;Science communication;Scientific Conferences;19;20;0.950000;Humanities and Social Sciences;Economics, law;2006
7684831.000000;14864959.000000;0.517000;Project funding;Project funding (Div. I-III);45;51;0.882400;Mathematics, Natural- and Engineering Sciences;Mathematics;2007
775000.000000;1545530.000000;0.501400;Infrastructure;R'EQUIP;3;4;0.750000;Mathematics, Natural- and Engineering Sciences;Earth Sciences;2012
74650.000000;86600.000000;0.862000;Careers;International short research visits;9;10;0.900000;Biology and Medicine;Basic Biological Research;2012
925725.000000;1408509.000000;0.657200;Science communication;Publication grants;63;66;0.954500;Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;2005
66300.000000;71550.000000;0.926600;Careers;International short research visits;7;7;1.000000;Humanities and Social Sciences;Linguistics and literature, philosophy;2007
3336329.000000;8693692.000000;0.383800;Careers;Ambizione;6;16;0.375000;Humanities and Social Sciences;Psychology, educational studies;2014
0.000000;0.000000;;Programmes;NRP 49 Antibiotic resistance;0;1;0.000000;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2006
55512.000000;308712.000000;0.179800;Careers;Fellowships;1;5;0.200000;Biology and Medicine;Social Medicine;2014
