"","id","submitdate","lastpage","startlanguage","seed","token","startdate","datestamp","ipaddr","refurl","transdisciplinaryExp.rate.","age","academicAge","familiarWithSI.response.","projectReference","projectReferenceNo","contribToSI.rate.","motivation.pheno.","motivation.prob.","motivation.welfare.","benefitForNonAcademy","impulseForNonAcad.soc.","impulseForNonAcad.econ.","impulseForNonAcad.ecol.","impulseForNonAcad.health.","impulseForNonAcad.tech.","impulseForNonAcad.other.","groupsInvolved.res.","groupsInvolved.busi.","groupsInvolved.civsoc.","groupsInvolved.policy.","groupsInvolved.citiz.","groupsInvolved.media.","groupsInvolved.welfare.","natureOfInvolvement.res.","natureOfInvolvement.busi.","natureOfInvolvement.civsoc.","natureOfInvolvement.policy.","natureOfInvolvement.citiz.","natureOfInvolvement.media.","natureOfInvolvement.welfare.","targetGroupsGoals.socneeds.","targetGroupsGoals.socgroups.","targetGroupsGoals.improve.","targetGroupsGoals.empower.","targetGroupsGoals.diversity.","concepts.pub.","concepts.data.","concepts.code.","concepts.infra.","concepts.review.","concepts2","concepts3","impactTargetGroup.pub.","impactTargetGroup.busi.","impactTargetGroup.socgr.","impactTargetGroup.welfare.","impactTargetGroup.civsoc.","impactTargetGroup.policy.","impactTargetGroup.acad.","kindOfChange.pub.","kindOfChange.busi.","kindOfChange.socgr.","kindOfChange.welfare.","kindOfChange.civsoc.","kindOfChange.policy.","kindOfChange.acad.","kindOfChangeOther","adoptByPolicy.rate.","adoptByPolicyHow.SQ001.","adoptByPolicyHow.SQ002.","adoptByPolicyHow.SQ003.","adoptByPolicyHow.other.","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","dissChannels.peer.","dissChannels.mono.","dissChannels.conf.","dissChannels.policy.","dissChannels.trad.","dissChannels.prof.","dissChannels.web.","dissChannels.socmed.","dissChannels.platf.","dissChannels.consult.","dissChannels.events.","dissChannels.public.","scalabilityRating.up.","scalabilityRating.out.","scalabilityRating.deep.","interestInSummary","SIthroughSNSF","resultsHighlight","feedback","thankYou"
"11",15,"2021-09-27 07:43:06",9,"en",1698438217,"WQXKKjiWx7aUUbY","2021-09-27 07:30:40","2021-09-27 07:43:06","2001:171b:c9b3:e6c0:6056:913:cb49:b73","","2","60 to 69","> 15 years","2","Yes",NA,"","2","2","2","no","Yes","Yes","No","No","No","","only marginally","only marginally","no","only marginally","no","only marginally","only marginally","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","consultative (provide information via interviews, online questionnaires, etc.)","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","","","","yes","no","no","no","yes","No","No","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","no","","","The questions asked are too abstract. I cannot immagine that one can draw general conclusions from the answers.",NA
"12",16,"2021-09-27 07:39:15",9,"en",1093920341,"ST3VNwtrUwjo7Vp","2021-09-27 07:32:38","2021-09-27 07:39:15","46.253.188.4","","1","60 to 69","> 15 years","1","Yes",NA,"","10..fully","10..fully","8","to a minor extent","No","No","No","No","Yes","","no","only marginally","no","no","no","no","no","","consultative (provide information via interviews, online questionnaires, etc.)","","","","","","false","","true","false","false","yes","yes","yes","no","no","No","No","2","2","5","0..not at all","0..not at all","0..not at all","5","","","changing attitude","","","","changing attitude","","0..not at all","N/A","N/A","N/A","","5","5","0..not at all","0..not at all","0..not at all","0..not at all","yes","no","no","no","no","no","yes","no","yes","no","no","no","8","Not applicable","Not applicable","no","","","",NA
"13",17,"2021-09-27 07:44:53",9,"en",1342326390,"9swaaXiWGqeXHXO","2021-09-27 07:36:06","2021-09-27 07:44:53","46.127.7.148","","9","50 to 59","> 15 years","3","Yes",NA,"","9","8","8","to a minor extent","No","No","No","Yes","No","","quite centrally","no","no","no","no","no","no","co-created (collaborative + participated in designing study and/or determining objectives)","","","","","","","false","false","true","false","true","yes","yes","yes","no","yes","No","No","5","3","3","3","3","2","8","changing understanding","","","","","","changing understanding","","3","No","No","No","","2","2","2","2","2","9","yes","no","yes","no","yes","no","yes","yes","no","no","no","no","Not applicable","Not applicable","Not applicable","no","","","",NA
"14",20,"2021-09-27 07:56:04",9,"en",938123552,"iYwI2rN3AUNHAYt","2021-09-27 07:43:24","2021-09-27 07:56:04","45.139.215.110","","3","39 or younger","11-15 years","1","Yes",NA,"","10..fully","10..fully","8","to a large extent","No","No","No","No","Yes","","no","no","no","no","no","no","no","","","","","","","","false","false","false","false","true","yes","yes","no","no","no","No","Yes","7","7","0..not at all","0..not at all","0..not at all","7","8","changing understanding","changing behaviour","","","","changing understanding","changing understanding","","6","No","No","No","No direct impact that I could witness ","Not applicable","Not applicable","8","Not applicable","3","9","yes","yes","no","no","no","no","yes","yes","yes","no","no","no","8","Not applicable","6","yes","","https://medium.com/@tjukanov/finding-the-most-innovative-square-kilometer-in-europe-with-spatial-sql-46b0fc4bde62

https://www.europeandatajournalism.eu/ell/Ergalehia/H-epiloghe-mas/The-most-innovative-square-kilometers-in-Europe","",NA
"15",21,"2021-09-27 08:12:04",9,"en",2133254482,"53jjRRLovHpzmNx","2021-09-27 07:49:28","2021-09-27 08:12:04","213.55.168.37","","7","50 to 59","> 15 years","0..not at all","Yes",NA,"","10..fully","7","5","to a minor extent","No","No","No","No","No","Generate knowledge about the role of social contexts for human development","quite centrally","no","no","no","no","no","no","co-created (collaborative + participated in designing study and/or determining objectives)","","","","","","","false","true","true","false","true","yes","yes","no","no","no","Yes","No","2","0..not at all","1","0..not at all","0..not at all","1","7","","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","2","0..not at all","8","1","5","7","yes","yes","yes","no","yes","no","yes","no","no","no","no","no","","","","yes","","","",NA
"16",22,"2021-09-27 17:18:48",9,"en",28124787,"szHJ50Wxc9nvMda","2021-09-27 07:51:22","2021-09-27 17:18:48","2001:620:610:600:2c44:faf3:c392:4060","","3","50 to 59","> 15 years","2","Yes",NA,"","10..fully","8","8","to a large extent","Yes","Yes","No","No","No","","only marginally","no","no","quite centrally","no","only marginally","no","consultative (provide information via interviews, online questionnaires, etc.)","","","collaborative (contributory + interpreting data and/or drawing conclusions)","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","false","false","true","false","true","yes","yes","yes","yes","no","No","Yes","5","1","1","1","1","7","5","changing understanding","","","","","changing understanding","changing understanding","","8","No","No","No","changed policy analysis","0..not at all","0..not at all","8","5","5","4","yes","no","no","no","yes","yes","yes","yes","no","yes","no","no","5","5","I don't know","no","","","",NA
"17",23,"2021-09-27 08:00:53",9,"en",1851040068,"gYfwiDDy2Dmpssq","2021-09-27 07:54:50","2021-09-27 08:00:53","89.206.112.10","","10..highly experienced","50 to 59","> 15 years","0..not at all","Yes",NA,"","10..fully","3","3","no","No","No","No","No","No","","quite centrally","only marginally","no","no","no","quite centrally","no","co-created (collaborative + participated in designing study and/or determining objectives)","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","","","","","yes","yes","yes","yes","no","No","No","2","2","2","2","2","2","10..to a high degree","","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","no","yes","","","","no","","","",NA
"18",24,"2021-09-27 08:12:16",9,"en",2056469802,"UfdrNPAjjdEmBIP","2021-09-27 07:58:37","2021-09-27 08:12:16","51.154.24.33","","9","50 to 59","> 15 years","9","Yes",NA,"5","10..fully","9","7","to a minor extent","No","No","No","No","No","A specific Organizational problem ","quite centrally","quite centrally","quite centrally","only marginally","quite centrally","no","only marginally","co-created (collaborative + participated in designing study and/or determining objectives)","collaborative (contributory + interpreting data and/or drawing conclusions)","co-created (collaborative + participated in designing study and/or determining objectives)","consultative (provide information via interviews, online questionnaires, etc.)","co-created (collaborative + participated in designing study and/or determining objectives)","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","true","false","true","true","true","yes","no","no","no","no","No","Yes","4","8","2","2","2","2","8","changing awareness","changing behaviour","","","","","changing understanding","","2","N/A","N/A","N/A","","7","2","3","3","7","7","yes","no","yes","no","no","no","yes","no","no","no","yes","no","Not applicable","8","I don't know","yes","Less attention to new jargon (eg transformational research) that does nothing but rebranding a very old discussion that dates back to 1970s, more attention to better and more robust methods. ","The identification of better inclusion practices that helped various cooperatives to better serve their beneficiaries, integrating social and commercial goals. Or the development of an engagement program that helped a NGO achieve impact in ther projects in Africa. Not in this sampled project though.","Most of my work on social innovation is not SNF funded. The specific project you picked is somewhat related, but social issues are not core in it. I appreciate the focus of the survey is on SNF, but obviously this sampling criterion set me at the margin of this study.",NA
"19",25,"2021-09-27 08:16:23",9,"en",1540544135,"7VGYOvvOlj9o7Xa","2021-09-27 08:04:23","2021-09-27 08:16:23","134.21.48.183","","4","50 to 59","> 15 years","0..not at all","Yes",NA,"","10..fully","7","3","to a minor extent","No","No","Yes","No","Yes","","quite centrally","no","no","only marginally","no","only marginally","no","co-created (collaborative + participated in designing study and/or determining objectives)","","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","consultative (provide information via interviews, online questionnaires, etc.)","","false","false","true","true","true","yes","yes","yes","no","yes","No","Yes","4","2","0..not at all","0..not at all","0..not at all","7","10..to a high degree","changing awareness","","","","","changing behaviour","changing understanding","","7","Yes","Yes","No","","8","4","1","1","7","5","yes","yes","yes","no","yes","yes","","no","no","yes","yes","yes","8","7","4","no","","","",NA
"20",26,"2021-09-27 08:14:04",9,"en",1643584296,"AirjKKhAV7H5bfJ","2021-09-27 08:06:15","2021-09-27 08:14:04","130.82.1.40","","3","50 to 59","> 15 years","4","Yes",NA,"","10..fully","10..fully","5","to a minor extent","Yes","No","No","No","No","","only marginally","no","no","no","no","no","no","","","","","","","","false","false","false","false","false","no","no","no","no","no","No","Yes","3","0..not at all","0..not at all","0..not at all","0..not at all","3","7","changing understanding","","","","","changing awareness","other","contribution to the further development of my research field","1","N/A","N/A","N/A","","0..not at all","0..not at all","1","0..not at all","1","1","no","yes","no","no","no","no","yes","no","yes","no","no","no","","","","no","","","",NA
"21",27,"2021-09-27 08:17:16",9,"en",1781344631,"LhVgXJYUC1mdpgf","2021-09-27 08:07:46","2021-09-27 08:17:16","77.56.73.129","","8","50 to 59","> 15 years","4","Yes",NA,"","4","10..fully","7","to a large extent","No","No","No","No","Yes","","quite centrally","no","no","no","no","no","no","collaborative (contributory + interpreting data and/or drawing conclusions)","","","","","","","true","false","true","true","true","yes","yes","no","no","yes","No","No","5","10..to a high degree","0..not at all","3","0..not at all","0..not at all","10..to a high degree","other","changing understanding","","other","","","changing understanding","Show how transistors scale when narrow gap materials are used to improve communication systems","5","No","No","No","","10..full extent","10..full extent","Not applicable","Not applicable","Not applicable","10..full extent","yes","no","yes","no","no","yes","yes","no","no","yes","no","no","10..very highly scalable","8","Not applicable","yes","","","",NA
"22",28,"2021-09-27 08:22:07",9,"en",836084548,"vc2APHF7WdXtX0j","2021-09-27 08:10:34","2021-09-27 08:22:07","178.197.225.193","","3","50 to 59","> 15 years","2","Yes",NA,"","7","5","3","no","Yes","No","No","No","No","","no","no","no","no","no","no","no","","","","","","","","","","","","","no","no","no","no","no","Yes","Yes","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","","","","","","","","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","7","0..not at all","3","3","yes","yes","no","no","no","no","yes","yes","no","no","no","no","","","","no","","","",NA
"23",29,"2021-09-27 09:05:42",9,"en",800844360,"jznBxzL6ULl96z5","2021-09-27 08:15:18","2021-09-27 09:05:42","155.105.191.71","","6","50 to 59","> 15 years","6","Yes",NA,"8","8","7","7","to a large extent","No","No","Yes","No","Yes","","only marginally","no","no","only marginally","no","no","no","co-created (collaborative + participated in designing study and/or determining objectives)","","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","","true","false","false","false","false","yes","yes","no","no","yes","No","Yes","2","5","0..not at all","0..not at all","5","7","9","","changing awareness","","","changing understanding","changing behaviour","changing behaviour","","7","No","No","No","methodology","6","2","6","8","10..full extent","10..full extent","yes","","yes","no","no","yes","no","no","no","no","no","no","7","7","1","yes","","In our project, we developed new methods of evaluating the contamination of the environment with radionuclides. These methods are now under evaluation by the Swiis nuclear industry to implement them in the control of effluents from the power plants and during nuclear dismentling. They are also under evaluation (and partly granted) by the Swiss Federal Office of Public Health in the frame of the Environmental Radioactivity Survey Plan.  We also apply the methods in a project with a French NGO (ACRO) in the discovering of a former contamination of the environnent nearby the la Hague reprocessing plant.","FNS granted a companion study to this one and we are currently evaluating environmental contamination by radionuclides nearby the Sellafield reprocessing plant. We were able to evaluate for the first time the fluxes of Pu, A, and U from the contaminated sediments to the water. These data will be used in a new model of determining the radioactive dose to the public living in proximity of the plant. This defines eventually the sense of ""social innovation"" of our projects.",NA
"24",30,"2021-09-27 08:30:36",9,"en",1789685022,"wa39hyhnLM33HY6","2021-09-27 08:15:48","2021-09-27 08:30:36","129.194.178.89","","3","60 to 69","> 15 years","0..not at all","Yes",NA,"","10..fully","8","5","no","No","No","Yes","No","Yes","","only marginally","no","no","only marginally","no","only marginally","only marginally","consultative (provide information via interviews, online questionnaires, etc.)","","","consultative (provide information via interviews, online questionnaires, etc.)","","consultative (provide information via interviews, online questionnaires, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","","","","","","no","yes","no","no","no","No","No","1","0..not at all","0..not at all","0..not at all","0..not at all","1","3","","","","","","","changing understanding","","Not applicable","N/A","N/A","N/A","","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","yes","no","yes","no","yes","no","yes","no","no","no","no","yes","","","","no","","","My research dealt with research on hydrogen storage materials which is one of the many aspects related to the clean hydrogen energy. 
This research was about fundamental investigations on chemical and physical issues related to the materials investigated, and therefore still very far from practical applications.",NA
"25",31,"2021-09-27 08:31:33",9,"en",1956164247,"Yi9IS5yiDolODHH","2021-09-27 08:19:50","2021-09-27 08:31:33","185.12.129.180","","5","50 to 59","> 15 years","5","Yes",NA,"0..not at all","10..fully","0..not at all","1","no","No","No","No","No","No","purely scientific problem","no","no","no","no","no","no","no","","","","","","","","","","","","","yes","no","yes","no","yes","No","No","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","9","","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","2","yes","yes","yes","no","no","no","no","no","yes","no","no","no","","","","no","The main criteria to judge a project should be its scientific quality, and its truth value. I'm afraid that introducing measures of ""social innovation"" in research is likely to lead, as a side-effect, to promotion of fashionable ideological agendas with low scientific quality. ","","",NA
"26",32,"2021-09-27 08:29:47",9,"en",1909462858,"hQPUcZHmi4zbsGN","2021-09-27 08:20:01","2021-09-27 08:29:47","62.202.189.17","","5","50 to 59","> 15 years","7","Yes",NA,"0..not at all","0..not at all","0..not at all","0..not at all","no","No","No","No","No","No","","no","no","no","no","no","no","no","","","","","","","","","","","","","yes","no","no","no","no","Yes","No","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","1","","","","","","","","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","yes","no","yes","no","no","no","yes","no","yes","yes","no","no","","","","no","","","I guess the title of my project ""Infinite groups and their actions..."" led to a misunderstanding. This project is in the area of pure mathematics called Group Theory and has strictly nothing to do with social sciences. The project was clearly chosen by mistake and the questions that I had to answer just don't at all apply to it.",NA
"27",33,"2021-09-27 08:28:39",9,"en",1046911473,"Kd1fPamcpspgA6A","2021-09-27 08:21:16","2021-09-27 08:28:39","46.183.103.8","","5","40 to 49","> 15 years","0..not at all","Yes",NA,"","5","10..fully","9","to a minor extent","No","No","No","Yes","No","","no","no","no","no","no","no","no","","","","","","","","false","false","true","false","false","yes","yes","no","no","no","No","No","4","2","0..not at all","0..not at all","0..not at all","0..not at all","10..to a high degree","","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","Not applicable","yes","no","yes","no","no","no","yes","yes","no","no","no","no","5","8","0..not scalable at all","yes","","","",NA
"28",34,"2021-09-27 08:31:44",9,"en",985874860,"WtFN0X58BK58iOA","2021-09-27 08:22:21","2021-09-27 08:31:44","2001:67c:10ec:5789:8000::238","","7","60 to 69","> 15 years","8","Yes",NA,"5","9","8","5","no","No","No","No","No","No","basic research","only marginally","no","no","no","no","only marginally","no","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","","","","","yes","yes","no","no","yes","No","No","2","1","0..not at all","0..not at all","0..not at all","0..not at all","7","","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","yes","yes","yes","no","no","yes","yes","no","no","no","no","yes","","","","yes","","","",NA
